GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
schachapp,com.schachapp,App,44,44,10,2,15,13,7,1,1,1
schachapp,com.schachapp.chess,ChessGame,42,881,31,115,12,168,30,68,0,22
schachapp,com.schachapp.chess,MoveParser,23,91,5,11,4,18,5,5,0,2
schachapp,com.schachapp.chess,Piece,8,107,1,25,1,17,1,22,0,7
schachapp,com.schachapp.chess,GameStatus,0,27,0,0,0,5,0,1,0,1
schachapp,com.schachapp.chess,Color,0,22,0,2,0,4,0,3,0,2
schachapp,com.schachapp.chess,PieceType,0,45,0,0,0,8,0,1,0,1
schachapp,com.schachapp.chess,TextBoardRenderer,0,83,0,8,0,15,0,5,0,1
schachapp,com.schachapp.chess,Position,23,164,11,25,4,31,11,16,0,9
schachapp,com.schachapp.chess,Move,0,29,0,0,0,7,0,4,0,4
schachapp,com.schachapp.chess,Board,5,55,1,1,1,12,1,6,0,6
